SiteNum,SiteName,Long_planned,Lat_planned,SiteName,Organiz,Benthic,BenthicPair,Date,Time,Team_DS,Team,LatGPS,LongGPS,SpCond,SalFINAL,TempFinal,ODOPerFinal,ODO,Turb_Final,pH,pH_insitu_Silbiger,TSS,Ammonia,NNN,TotalN,TotalP,Silica,Chla,Salinity_Silbiger,Depth_FINAL,Photos x 5_DS,# of usable photos,Comments photo quadrants,Notes_DS,Comments,Enterococcus,FCM,DNA,FDOM,Pharm,PPL,TA,DOH,DNAex,runDNA,TA_Raw_Silbiger,fDOM_M:C,fDOM_BIX,fDOM_HIX,fDOM_FI,FCM_Concentration (cells/uL),IBU_ngmL,SMX_ngmL,GLY_ngmL,CBZ_ngmL,EnteroCFU100ml,Sample Name,SiteNum_DNA,SiteNumDOH,clusterfit,dist2coast,otpN,gw_wells,streams,DistanceHK_m
114,114,-157.7446511,21.25506738,MBGT1-114,HDOHOff,0,0,20190815,9:53:00 AM,Boat,4,21.25509,-157.7446,53386,34.24,27.2,101.7,6.63,0.15,8.19,8.043167,18,11,1,62,8,500,0.03,35.16,20.53,,,,,,,1,1,1,0,0,1,1,,0,2249.76,1.735088,1.7572,0.262794,1.735086,279620,,,,,,114,114,114,11,2357.16,0,2670.07,2481.17,2978.92
115,115,-157.7416716,21.26888482,MBGT1-115,HDOHOff,0,0,20190814,7:43:00 AM,Boat,4,21.26883,-157.74165,53409,34.18,27.2,100.5,6.55,0.18,8.18,8.04135,26,9,1,51,9,500,0.11,35.16,13.81,0,,,,,,1,1,1,0,0,1,1,,0,2253.67,1.476726,0.888475,0.426293,1.724438,357163,,,,,,115,115,115,2,1138.86,78.37,1181.27,1258.65,2461.43
116,116,-157.7967088,21.24280675,MBGT1-116,HDOHOff,0,0,20190815,9:07:00 AM,Boat,4,21.24282,-157.7966,53310,34.22,27.3,102.2,6.65,0.16,8.19,8.024679,30,18,1,83,8,500,0.09,35.14,23.54,,,,,,,1,1,1,0,0,1,1,,0,2257.16,1.849894,1.06517,0.275772,1.925208,334939,,,,,,116,116,116,11,1402.46,1242.2,1815.32,3253.46,7017.66
117,117,-157.7519192,21.26879885,MBGT1-117,HDOHOff,0,1,20190814,8:03:00 AM,Boat,4,21.26877,-157.75188,53384,34.29,27.2,97.5,6.35,0.6,8.16,8.02466,19,21,1,62,6,500,0.1,35.16,10.14,0,,,,,,1,1,1,0,0,1,1,,5,2257.835,1.55271,1.343298,0.276078,1.499225,458245,,,,,,117,117,117,2,671.19,78.37,1316.05,917.82,3203.84
118,118,-157.7822214,21.25452288,MBGT1-118,HDOHOff,0,0,20190814,9:42:00 AM,Boat,4,21.25454,-157.7823,53489,34.22,27.1,101.1,6.57,0.24,8.18,8.037878,19,15,1,59,6,500,0.23,35.14,15.51,0,,,,,,1,1,1,0,1,1,1,bursted ,3,2262.202,3.306762,2.674007,0.256106,1.889988,288820,,,,,,118,118,118,2,845.28,3206.81,998.5,1426.18,5722.31
119,119,-157.723791,21.26378885,MBGT1-119,HDOHOff,0,0,20190813,9:10:00 AM,Boat,4,21.26377,-157.72389,53133,34.2,27.1,101,6.58,0.58,8.18,8.041223,16.4,20,1,105,8,500,0.094,35,14.86,0,,,,,,1,1,1,0,0,1,1,,0,2256.859,1.987858,0.866137,0.686781,1.732936,241860,,,,,,119,119,119,2,1260.04,0,2286.94,1762.98,1286.64
120,120,-157.7952216,21.25436218,MBGT1-120,HDOHOff,0,1,20190814,7:44:00 AM,Boat,4,21.25379,-157.79451,316,34.26,27.3,93.6,8.1,1.06,7.84,7.996024,21,18,1,96,17,500,0.21,35.16,3.05,,,,,,,1,1,1,0,0,1,1,10/17/2019,4,2248.14,1.488308,1.673992,0.472499,1.591696,384122,,,,,,120,120,120,4,192.35,4155.39,621.29,2194.95,6623.44
121,121,-157.7528364,21.25986211,MBGT1-121,HDOHOff,0,0,20190815,10:14:00 AM,Boat,4,21.25981,-157.75294,53445,34.21,27.3,101.9,6.63,0.12,8.2,8.031409,47,10,1,67,15,500,0.04,35.22,17.22,,,,,,,1,1,1,0,0,1,1,,0,2259.245,2.066308,1.886061,0.280684,1.6689,201460,,,,,,121,121,121,11,1569.24,0,2011.89,1910.63,3478.77
122,122,-157.7392657,21.25868291,MBGT1-122,HDOHOff,0,0,20190814,7:29:00 AM,Boat,4,21.25865,-157.73924,53344,34.31,27.2,102,6.65,0.1,8.19,8.044988,22,17,1,46,9,500,0.05,35.16,19.28,0,,,,,,1,1,1,0,0,1,1,,0,2262.126,1.29719,0.761923,0.300397,1.358108,244740,,,,,,122,122,122,11,2271.61,0,2331.05,2310.78,2511.89
123,123,-157.7444941,21.27051991,MBGT1-123,HDOHOff,0,1,20190813,8:39:00 AM,Boat,4,21.27043,-157.74463,53436,34.19,27.3,99,6.44,0.58,8.17,8.036442,17.2,25,2,71,6,500,0.128,35.23,8.77,0,,,correct,,,1,1,1,0,0,1,1,10/17/2019,4,2260.712,1.233535,0.89182,0.544995,1.625905,385880,,,,,,123,123,123,2,852.35,78.37,970.82,910.49,2641.94
