Full Name,Site Number,Quadrad number ,Copy,Team Color,Picture Number,,Annotation status,Annotation area,Coral,Sand,Silt,Pav,Rock,Unk,ASPIC,CA_O,CCA,GFA,GSAL,Hal,Turbin,Turf,UnkMacroa
130_5_3_Yellow_Copy of P8150952.JPG,130,5,3,Yellow,Copy of P8150952.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,0,0,0,0,0,0,0,0,0,6.667,0,0,93.333
130_5_4_Yellow_Copy of P8150954.JPG,130,5,4,Yellow,Copy of P8150954.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
166_1_1_Green_Copy of P8150346.JPG,166,1,1,Green,Copy of P8150346.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,50,0,0,30,0,0,0,0,0,0,13.333,0,6.667,0
166_2_1_Green_Copy of P8150347.JPG,166,2,1,Green,Copy of P8150347.JPG,,Confirmed,X: 911 - 3395 pixels / Y: 300 - 2880 pixels,0,26.667,13.333,6.667,40,0,6.667,0,0,0,0,6.667,0,0,0
166_4_1_Green_Copy of P8150348.JPG,166,4,1,Green,Copy of P8150348.JPG,,Confirmed,X: 951 - 3465 pixels / Y: 241 - 2765 pixels,0,46.667,6.667,0,46.667,0,0,0,0,0,0,0,0,0,0
166_5_1_Green_Copy of P8150349.JPG,166,5,1,Green,Copy of P8150349.JPG,,Confirmed,X: 731 - 3245 pixels / Y: 206 - 2745 pixels,0,53.333,0,0,40,0,3.333,0,0,0,0,0,0,0,3.333
168_1_1_Red_Copy of P8140211.JPG,168,1,1,Red,Copy of P8140211.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,0,0,10,6.667,0,0,16.667,0,0,0,0,16.667,50
168_2_1_Red_Copy of P8140214.JPG,168,2,1,Red,Copy of P8140214.JPG,,Confirmed,X: 526 - 3150 pixels / Y: 46 - 2700 pixels,0,16.667,23.333,0,20,0,0,0,13.333,0,0,0,0,23.333,3.333
168_3_1_Red_Copy of P8140215.JPG,168,3,1,Red,Copy of P8140215.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,3.333,26.667,10,0,20,0,0,0,13.333,0,0,0,0,6.667,20
168_4_1_Red_Copy of P8140222.JPG,168,4,1,Red,Copy of P8140222.JPG,,Confirmed,X: 816 - 3600 pixels / Y: 126 - 2765 pixels,0,36.667,0,0,6.667,0,0,0,16.667,10,0,3.333,0,3.333,23.333
168_5_1_Red_Copy of P8140224.JPG,168,5,1,Red,Copy of P8140224.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,3.333,10,3.333,0,6.667,20,0,0,13.333,0,0,3.333,0,23.333,16.667
